6R/1CR/9F/5W|hallojasper||RCRF,RFCR,CRRF
7R/1CR/8F/5W|Nick|https://cdn.discordapp.com/attachments/986727505501245560/1011775206802600006/SPOILER_20220824010921_1.jpg|CRFR,FRCR,FCRR
7R/2CR/9F/2W|Ami|https://cdn.discordapp.com/attachments/1006673442130645073/1011972111696404520/W.jpg|
