7R/3C/11F/0W|Ami|https://cdn.discordapp.com/attachments/1006673442130645073/1011622007747641397/4-1.jpg|RCF,RFC,CRF
8R/4C/10F/0W|hallojasper||
9R/3C/9F/2W|hallojasper||CFR,FRC,FCR
