7R/3CR/11F/0W|Ami|https://cdn.discordapp.com/attachments/1006673442130645073/1011622007747641397/4-1.jpg|RCRF,RFCR,CRRF
8R/4CR/10F/0W|hallojasper||
9R/3CR/9F/2W|hallojasper||CRFR,FRCR,FCRR
