8R/4C/9F/1W|notgreat||RCF,RFC,CRF,CFR
8R/5C/10F/2W|ecnerwala||
9R/5C/8F/1W|Ami|https://cdn.discordapp.com/attachments/993498640670785648/1013077795645181952/jelly.jpg|FRC,FCR
