8R/5CR/11F/0W|rolamni||RCRF,RFCR
9R/3CR/10F/0W|rolamni||CRRF,CRFR
11R/5CR/9F/0W|hallojasper||FRCR,FCRR
12R/5CR/13F/1W|ecnerwala||
