13R/9C/10F/0W|ecnerwala||RCF,RFC,WRCF,WFRC
14R/6C/9F/1W|notgreat|https://cdn.discordapp.com/attachments/993498640670785648/1028979024044757002/unknown.png|CRF,CFR,FRC,FCR
16R/12C/10F/4W|notgreat|https://cdn.discordapp.com/attachments/993498640670785648/1028975591652868136/unknown.png|wRCF,wFRC
